Quote,Clear
""" Я действительно даже не знаю тебя,  и все же в моей жизни ты навсегда запутался;  с моей историей ты неразрывно связан"" . 
",я действительно даже не знаю тебя и все же в моей жизни ты навсегда запутался с моей историей ты неразрывно связан
"Не позволяйте пройти еще одному дню,  когда ваша приверженность мнению других людей будет больше,  чем вашим собственным эмоциям! 
",не позволяйте пройти еще одному дню когда ваша приверженность мнению других людей будет больше чем вашим собственным эмоциям
"Совершенная любовь - самое прекрасное из всех разочарований,  потому что это больше,  чем можно выразить. 
",совершенная любовь самое прекрасное из всех разочарований потому что это больше чем можно выразить
""" Но когда в твоей жизни ничего не происходит в позитивном ключе,  трудно мыслить позитивно и надеяться на лучшее"" . 
",но когда в твоей жизни ничего не происходит в позитивном ключе трудно мыслить позитивно и надеяться на лучшее
""" Помни,  как далеко ты продвинулся,  и тебе не придется полагаться на судьбу в своем будущем.  Оно придет само"" . 
",помни как далеко ты продвинулся и тебе не придется полагаться на судьбу в своем будущем оно придет само
""" О равенстве - как будто это вредит мне,  предоставляя другим те же шансы и права,  что и мне самому - как будто для моих собственных прав не обязательно,  чтобы другие обладали тем же"" . 
",о равенстве как будто это вредит мне предоставляя другим те же шансы и права что и мне самому как будто для моих собственных прав не обязательно чтобы другие обладали тем же
"Покажи мне свои руки.  Есть ли на них шрамы от пожертвований?  Покажи мне свои ноги.  Ранены ли они на службе?  Покажи мне свое сердце.  Осталось ли в тебе место для божественной любви? 
",покажи мне свои руки есть ли на них шрамы от пожертвований покажи мне свои ноги ранены ли они на службе покажи мне свое сердце осталось ли в тебе место для божественной любви
""" Я никогда не обращался к Богу только с одной молитвой,  очень короткой:  о Господи,  сделай моих врагов смешными.  И Бог даровал это"" ""  ( Письмо Этьену Ноэлю Дамилавилю,  16 мая 1767 г. ) "" 
",я никогда не обращался к богу только с одной молитвой очень короткой о господи сделай моих врагов смешными и бог даровал это письмо этьену ноэлю дамилавилю 16 мая 1767 г
""" Приятно осознавать,  что если любовь и мир смогут восторжествовать на земле,  и если мы сможем научить наших детей уважать дары природы,  радости и красота природы останутся с нами навсегда"" . 
",приятно осознавать что если любовь и мир смогут восторжествовать на земле и если мы сможем научить наших детей уважать дары природы радости и красота природы останутся с нами навсегда
""" Есть вожделение,  а затем есть любовь.  Они связаны,  но все же очень разные вещи.  Чтобы побаловать себя одним,  требуется немного,  но сладкая речь и смена одежды;  чтобы получить другое,  напротив,  мужчина должен отказаться от своего ребра.  Взамен его женщина искупит грех Евы и вернет его обратно в Рай"" . 
",есть вожделение а затем есть любовь они связаны но все же очень разные вещи чтобы побаловать себя одним требуется немного но сладкая речь и смена одежды чтобы получить другое напротив мужчина должен отказаться от своего ребра взамен его женщина искупит грех евы и вернет его обратно в рай
""" Шей,  вы,  ребята,  такие раскованные,  что удивительно,  как у вас задницы не отваливаются"" . 
",шей вы ребята такие раскованные что удивительно как у вас задницы не отваливаются
"Учитель сказал,  что ты должен писать то,  что видишь. Но то,  что вижу я,  меня не трогает. Учитель ответил:  Измени то,  что видишь ты. 
",учитель сказал что ты должен писать то что видишь но то что вижу я меня не трогает учитель ответил измени то что видишь ты
""" Эйвери,  если мальчик по имени Эйвери женится на девочке по имени Эйвери,  назовут ли они своих детей или просто наклеят ярлык? "" 
",эйвери если мальчик по имени эйвери женится на девочке по имени эйвери назовут ли они своих детей или просто наклеят ярлык
"Одно "" сегодня""  стоит двух "" завтра"" . 
",одно сегодня стоит двух завтра
""" И хотя в настоящее время я жила в сказке,  какая-то часть моей души знала,  что счастье не может длиться вечно.  Я не заслуживала "" долго и счастливо"" ,  и было не так много других карт,  которые можно было разыграть,  когда это было правдой"" . 
",и хотя в настоящее время я жила в сказке какая-то часть моей души знала что счастье не может длиться вечно я не заслуживала долго и счастливо и было не так много других карт которые можно было разыграть когда это было правдой
"Успех наступит в тот момент,  когда вы перестанете беспокоиться об успехе. 
",успех наступит в тот момент когда вы перестанете беспокоиться об успехе
""" Хората се страхуват от бъдещето,  живеейки в миналото! "" 
",хората се страхуват от бъдещето живеейки в миналото
"Привилегия всей жизни - быть тем,  кто ты есть. 
",привилегия всей жизни быть тем кто ты есть
"Легко ненавидеть и трудно любить.  Вот как работает вся схема вещей.  Всего хорошего трудно достичь,  а плохого очень легко добиться. 
",легко ненавидеть и трудно любить вот как работает вся схема вещей всего хорошего трудно достичь а плохого очень легко добиться
"Может быть,  это НЕ Maybelline.  Может быть,  вы просто родились с этим. 
",может быть это не может быть вы просто родились с этим
"Если бы смерть означала просто уход со сцены на время,  достаточное для того,  чтобы сменить костюм и вернуться в качестве нового персонажа. . . Ты бы притормозил?  Или ускорился? 
",если бы смерть означала просто уход со сцены на время достаточное для того чтобы сменить костюм и вернуться в качестве нового персонажа ты бы притормозил или ускорился
"таким образом,  с поцелуем я умираю
",таким образом с поцелуем я умираю
"- Не предполагай,  спрашивай.  Будь добрым.  Говорить правду.  Не говорите ничего,  за что вы не сможете полностью постоять.  Будьте честны.  Говорите людям о своих чувствах. "" 
",- не предполагай спрашивай будь добрым говорить правду не говорите ничего за что вы не сможете полностью постоять будьте честны говорите людям о своих чувствах
"Мир гибнет из-за недостатка знания о Боге,  а Церковь страдает от недостатка Его Присутствия. 
",мир гибнет из-за недостатка знания о боге а церковь страдает от недостатка его присутствия
"Как мало нужно мыслей,  чтобы наполнить жизнь. 
",как мало нужно мыслей чтобы наполнить жизнь
""" Возможно,  правда в том,  что быть удивительным не должно быть так просто.  Тогда все было бы так.  Наибольшую ценность имеют те вещи,  за которые вы боретесь,  прежде чем заработать.  Когда что-то дается с трудом,  вы делаете гораздо больше,  чтобы убедиться,  что потерять это еще труднее,  если не невозможно. "" 
",возможно правда в том что быть удивительным не должно быть так просто тогда все было бы так наибольшую ценность имеют те вещи за которые вы боретесь прежде чем заработать когда что-то дается с трудом вы делаете гораздо больше чтобы убедиться что потерять это еще труднее если не невозможно
"Сомнение убивает больше мечтаний,  чем неудача. 
",сомнение убивает больше мечтаний чем неудача
"Оригинальность - это тонкое искусство запоминать то,  что ты слышишь,  но забывать,  где ты это слышал. 
",оригинальность это тонкое искусство запоминать то что ты слышишь но забывать где ты это слышал
""" Если ты хочешь украсть мое сердце,  ты должен понимать,  что это не разовое ограбление.  Эта кража займет каждую минуту твоей оставшейся жизни"" . 
",если ты хочешь украсть мое сердце ты должен понимать что это не разовое ограбление эта кража займет каждую минуту твоей оставшейся жизни
""" Он сказал "" "" круто"" "" как будто я произношу испанское слово,  когда не уверен в произношении"" . 
",он сказал круто как будто я произношу испанское слово когда не уверен в произношении
"Пацифизм Ничто так не превращает солдата в пацифиста или убийцу,  как наблюдение за действиями на войне. 
",пацифизм ничто так не превращает солдата в пацифиста или убийцу как наблюдение за действиями на войне
"Пусть восход солнца каждое утро приносит вам свет любви и радости. 
",пусть восход солнца каждое утро приносит вам свет любви и радости
"Дешевые рифмовки и дешевая мелодия иногда так же опасны,  как лунный луч. 
",дешевые рифмовки и дешевая мелодия иногда так же опасны как лунный луч
"Некоторые призраки или ощущаемое присутствие могут быть просто сущностью другого живого человека,  спроецированной наружу во время сна. 
",некоторые призраки или ощущаемое присутствие могут быть просто сущностью другого живого человека спроецированной наружу во время сна
"Даже для меня в жизни были свои проблески солнечного света. 
",даже для меня в жизни были свои проблески солнечного света
"Мудрый человек использует больше возможностей,  чем находит. 
",мудрый человек использует больше возможностей чем находит
"Нет ничего страшнее невежества в действии. 
",нет ничего страшнее невежества в действии
"Трагедия жизни - это то,  что умирает внутри человека,  пока он жив. 
",трагедия жизни это то что умирает внутри человека пока он жив
""" Искушения нужно не бояться,  а контролировать"" . 
",искушения нужно не бояться а контролировать
""" Нельзя ожидать положительных результатов от образовательной или политической программы действий,  которая не уважает особый взгляд на мир,  которого придерживаются люди.  Такая программа представляет собой культурное вторжение,  несмотря на благие намерения"" . 
",нельзя ожидать положительных результатов от образовательной или политической программы действий которая не уважает особый взгляд на мир которого придерживаются люди такая программа представляет собой культурное вторжение несмотря на благие намерения
"Мужчине повезло,  если он - первая любовь женщины.  Женщине повезло,  если она последняя любовь мужчины. 
",мужчине повезло если он первая любовь женщины женщине повезло если она последняя любовь мужчины
""" Истории могут победить страх,  знаете ли.  Они могут сделать сердце больше"" . 
",истории могут победить страх знаете ли они могут сделать сердце больше
""" Мое сердцебиение - это пульс,  и оно излучает звуковые вибрации,  которые резонируют с ее сознанием,  когда она кладет голову мне на грудь.  Слушайте молча,  и вы сможете услышать частоту любви"" . 
",мое сердцебиение это пульс и оно излучает звуковые вибрации которые резонируют с ее сознанием когда она кладет голову мне на грудь слушайте молча и вы сможете услышать частоту любви
""" Если их использование читателями не оживит их,  книги действительно станут мертвыми вещами"" . 
",если их использование читателями не оживит их книги действительно станут мертвыми вещами
""" Человек,  который был наказан,  не просто становится менее склонен вести себя определенным образом;  в лучшем случае он учится избегать наказания"" . 
",человек который был наказан не просто становится менее склонен вести себя определенным образом в лучшем случае он учится избегать наказания
"Разбитое сердце [ 10w]  Разбитое сердце похоже на сердечный приступ,  но без больничных счетов. 
",разбитое сердце 10 разбитое сердце похоже на сердечный приступ но без больничных счетов
"Я узнал от адвоката,  что вчера была репетиция.  У нас нет надежды.  Я тоже знаю председательствующего судью:  я имел несчастье переспать с его женой.  Он был выбран специально. 
",я узнал от адвоката что вчера была репетиция у нас нет надежды я тоже знаю председательствующего судью я имел несчастье переспать с его женой он был выбран специально
"Всему свое время - это то,  чему не следует Космический порядок. 
",всему свое время это то чему не следует космический порядок
""" Приписываю ли я свой успех тяжелой работе или солнцезащитному крему?  Если вы хотите знать правду,  возможно,  вам стоит спросить моего нового секретаря-альбиноса"" . 
",приписываю ли я свой успех тяжелой работе или солнцезащитному крему если вы хотите знать правду возможно вам стоит спросить моего нового секретаря-альбиноса
"тело мудрее,  чем его обитатели.  тело - это душа.  тело - божий посланник. 
",тело мудрее чем его обитатели тело это душа тело божий посланник
""" Бог будет судить нас,  мистер Харрис,  по тому,  что мы сделали,  чтобы облегчить страдания наших собратьев-людей.  Я не думаю,  что Бога волнует,  какую доктрину мы принимаем"" . 
",бог будет судить нас мистер харрис по тому что мы сделали чтобы облегчить страдания наших собратьев-людей я не думаю что бога волнует какую доктрину мы принимаем
"Даже душа,  погруженная в сон,  усердно трудится и помогает что-то сделать с миром. 
",даже душа погруженная в сон усердно трудится и помогает что-то сделать с миром
""" Жертвоприношение"" ,  - сказал капитан.  "" "" Ты совершил одно.  Я совершил одно.  Мы все совершили их.  Но ты злился из-за своего.  Ты продолжал думать о том,  что потерял.  Ты этого не получил.  Жертвоприношение - часть жизни.  Так и должно быть.  Это не то,  о чем стоит сожалеть.  Это то,  к чему нужно стремиться"" . 
",жертвоприношение сказал капитан ты совершил одно я совершил одно мы все совершили их но ты злился из-за своего ты продолжал думать о том что потерял ты этого не получил жертвоприношение часть жизни так и должно быть это не то о чем стоит сожалеть это то к чему нужно стремиться
""" Не относитесь безразлично к любой случайной идее,  которая приходит вам в голову,  потому что каждая идея предназначена для определенной цели.  возможно,  это не принесет пользы вам,  но может стать тем,  чего жаждут другие"" 
",не относитесь безразлично к любой случайной идее которая приходит вам в голову потому что каждая идея предназначена для определенной цели возможно это не принесет пользы вам но может стать тем чего жаждут другие
"Напишите,  что вы знаете.  Это должно оставить вам много свободного времени. 
",напишите что вы знаете это должно оставить вам много свободного времени
""" Когда я понял,  что скоро умру,  единственное,  о чем я мог думать,  это о тебе и о том,  каким идиотом я был,  что не сказал тебе о своих чувствах к тебе.  Я думаю,  что полюбил тебя с того момента,  как ты сняла эту ужасную повязку с моего лица.  Я открыл глаза,  и там была ты,  самая храбрая,  самая красивая женщина,  которую я когда-либо знал.  Ты освободила меня,  Натали.  Во многих отношениях ты освободила меня. "" 
",когда я понял что скоро умру единственное о чем я мог думать это о тебе и о том каким идиотом я был что не сказал тебе о своих чувствах к тебе я думаю что полюбил тебя с того момента как ты сняла эту ужасную повязку с моего лица я открыл глаза и там была ты самая храбрая самая красивая женщина которую я когда-либо знал ты освободила меня натали во многих отношениях ты освободила меня
"- Честно говоря,  как бы сильно я ни любил своего брата,  я не уверен,  как я отношусь к тому,  что он болтается в твоей спальне.  - Он протянул мускулистую руку и пальцами убрал несколько прядей волос с моей щеки,  заправляя их мне за ухо.  Я вздрогнула,  и он улыбнулся.  “ Я чувствую,  что мне нужно пометить свою территорию” .  “ Заткнись” .  “ О,  мне нравится,  когда ты становишься таким властным.  Это сексуально"" . 
",- честно говоря как бы сильно я ни любил своего брата я не уверен как я отношусь к тому что он болтается в твоей спальне он протянул мускулистую руку и пальцами убрал несколько прядей волос с моей щеки заправляя их мне за ухо я вздрогнула и он улыбнулся я чувствую что мне нужно пометить свою территорию заткнись о мне нравится когда ты становишься таким властным это сексуально
"Прошлой ночью ты мне приснился. .  Ты был в тропических лесах Амазонки и лаял,  как собака. 
",прошлой ночью ты мне приснился ты был в тропических лесах амазонки и лаял как собака
""" Я пересек какую-то невидимую черту.  У меня такое чувство,  будто я попал в место,  куда никогда не думал,  что мне придется попасть.  И я не знаю,  как я сюда попал.  Это странное место.  Это место,  где немного безобидных мечтаний,  а затем несколько сонных разговоров ранним утром привели меня к размышлениям о смерти и уничтожении"" . 
",я пересек какую-то невидимую черту у меня такое чувство будто я попал в место куда никогда не думал что мне придется попасть и я не знаю как я сюда попал это странное место это место где немного безобидных мечтаний а затем несколько сонных разговоров ранним утром привели меня к размышлениям о смерти и уничтожении
""" истину,  как и золото,  можно получить не путем ее роста,  а путем смывания с нее всего,  что не является золотом"" . 
",истину как и золото можно получить не путем ее роста а путем смывания с нее всего что не является золотом
""" Есть много способов быть несчастным,  но есть только один способ чувствовать себя комфортно,  и это перестать гоняться за счастьем.  Если вы решили не быть счастливым,  нет причин,  по которым вы не должны хорошо проводить время"" . 
",есть много способов быть несчастным но есть только один способ чувствовать себя комфортно и это перестать гоняться за счастьем если вы решили не быть счастливым нет причин по которым вы не должны хорошо проводить время
""" Если вы считаете,  что образование стоит дорого,  попробуйте невежество"" . 
",если вы считаете что образование стоит дорого попробуйте невежество
""" Я не верю в способность человека к совершенству.  Я думаю,  что человеческие усилия не окажут заметного влияния на человечество.  Человек сейчас только более активен,  но не более счастлив и не более мудр,  чем он был 6000 лет назад"" . 
",я не верю в способность человека к совершенству я думаю что человеческие усилия не окажут заметного влияния на человечество человек сейчас только более активен но не более счастлив и не более мудр чем он был 6000 лет назад
""" Мой дорогой Ватсон,  - сказал [ Шерлок Холмс] ,  - я не могу согласиться с теми,  кто причисляет скромность к добродетелям.  Для логика все вещи должны восприниматься именно такими,  какие они есть,  и недооценивать себя - такое же отступление от истины,  как и преувеличивать собственные силы"" . 
",мой дорогой ватсон сказал шерлок холмс я не могу согласиться с теми кто причисляет скромность к добродетелям для логика все вещи должны восприниматься именно такими какие они есть и недооценивать себя такое же отступление от истины как и преувеличивать собственные силы
""" Сама суть творчества заключается в его новизне,  и,  следовательно,  у нас нет стандарта,  по которому можно судить о нем"" . 
",сама суть творчества заключается в его новизне и следовательно у нас нет стандарта по которому можно судить о нем
"Однажды утром я проснулся и обнаружил,  что знаменит. 
",однажды утром я проснулся и обнаружил что знаменит
""" Спасибо тебе за жизнь и за все маленькие взлеты и падения,  ради которых стоит жить"" . 
",спасибо тебе за жизнь и за все маленькие взлеты и падения ради которых стоит жить
"Щедрость земли поглощает наш компост и выращивает красоту!  Постарайся быть больше похожим на землю. 
",щедрость земли поглощает наш компост и выращивает красоту постарайся быть больше похожим на землю
""" Если вы хотите чего-то добиться в жизни,  вы просто должны это делать,  и если вы талантливы и умны,  вы добьетесь успеха"" . 
",если вы хотите чего-то добиться в жизни вы просто должны это делать и если вы талантливы и умны вы добьетесь успеха
""" Нерушимый,  ты бы подумал,  что они назвали меня мистером Глассом,  оглянись на мою жизнь,  как на призрак рождественских игрушек в США,  где я обычно тратил рождественские деньги,  и я все равно не повзрослею,  я взрослый парень,  меня следовало бы посадить за глупое дерьмо,  которое я совершил,  но я чемпион,  итак,  я превратил трагедию в триумф,  создаю музыку,  которая - огонь,  выплевываю свою душу сквозь проволоку"" . 
",нерушимый ты бы подумал что они назвали меня мистером глассом оглянись на мою жизнь как на призрак рождественских игрушек в сша где я обычно тратил рождественские деньги и я все равно не повзрослею я взрослый парень меня следовало бы посадить за глупое дерьмо которое я совершил но я чемпион итак я превратил трагедию в триумф создаю музыку которая огонь выплевываю свою душу сквозь проволоку
""" Привет,  я в шершавой части,  посвященной Александру ученому;  как ты думаешь,  что происходит в последние годы,  и нет ли ауры в университетах для восстановления древнего невежества? "" 
",привет я в шершавой части посвященной александру ученому как ты думаешь что происходит в последние годы и нет ли ауры в университетах для восстановления древнего невежества
""" Счастье - это то,  что вы осаждаете,  это битва,  подобная игре в го.  Я возьму всю боль в свои руки и уничтожу ее"" . 
",счастье это то что вы осаждаете это битва подобная игре в го я возьму всю боль в свои руки и уничтожу ее
""" Реформатор всегда прав в том,  что неправильно.  Однако он часто ошибается в том,  что правильно"" . 
",реформатор всегда прав в том что неправильно однако он часто ошибается в том что правильно
""" Чем больше я читаю,  тем меньше знаю"" . 
",чем больше я читаю тем меньше знаю
""" Те,  кто не ценит свои слова,  никогда не оценят ваши желания"" . 
",те кто не ценит свои слова никогда не оценят ваши желания
""" В еврейском юморе есть очарование,  ритм,  душа.  Когда я впервые увидел выступление Ричарда Прайора,  я сказал ему:  "" Ты исполняешь еврейский номер"" . 
",в еврейском юморе есть очарование ритм душа когда я впервые увидел выступление ричарда прайора я сказал ему ты исполняешь еврейский номер
"Я страстный ученик. 
",я страстный ученик
"Ты дезориентирован.  Вы только что проснулись.  Вы в будущем.  Вы проспали восемь часов. 
",ты дезориентирован вы только что проснулись вы в будущем вы проспали восемь часов
"Великая цель образования. . .  состоит в том,  чтобы убеждать и вдохновлять на искреннюю любовь к добродетели. 
",великая цель образования состоит в том чтобы убеждать и вдохновлять на искреннюю любовь к добродетели
""" Чтобы добиться успеха,  вы должны точно решить,  чего вы хотите достичь,  а затем принять решение заплатить цену,  чтобы получить это"" . 
",чтобы добиться успеха вы должны точно решить чего вы хотите достичь а затем принять решение заплатить цену чтобы получить это
"Я потерял утешение в вере,  но не стремление поклоняться
",я потерял утешение в вере но не стремление поклоняться
""" Крепкие узы дружбы не всегда являются сбалансированным уравнением;  дружба не всегда заключается в том,  чтобы отдавать и брать в равных долях.  Вместо этого дружба основана на чувстве,  что вы точно знаете,  кто будет рядом с вами,  когда вам что-то понадобится,  независимо от того,  что и когда"" . 
",крепкие узы дружбы не всегда являются сбалансированным уравнением дружба не всегда заключается в том чтобы отдавать и брать в равных долях вместо этого дружба основана на чувстве что вы точно знаете кто будет рядом с вами когда вам что-то понадобится независимо от того что и когда
"Я смотрел в твои глаза своими глазами.  Я приложил свое сердце к твоему сердцу. 
",я смотрел в твои глаза своими глазами я приложил свое сердце к твоему сердцу
""" От одной свечи можно зажечь тысячи свечей,  и срок службы свечи не сократится.  Счастье никогда не уменьшается от того,  что им делятся"" . 
",от одной свечи можно зажечь тысячи свечей и срок службы свечи не сократится счастье никогда не уменьшается от того что им делятся
"Лак для ногтей телесного цвета выигрывает у замысловатого нейл-арта. 
",лак для ногтей телесного цвета выигрывает у замысловатого нейл-арта
""" Если после прочтения этой книги вы придете ко мне домой и жестоко убьете меня,  я вас не виню"" . 
",если после прочтения этой книги вы придете ко мне домой и жестоко убьете меня я вас не виню
""" Любовь к тому,  что вы делаете,  в сочетании с вашей верой в то,  что вы делаете,  не определит ваш успех.  Это определит,  насколько усердно вы будете работать и насколько преданы своему делу.  Успех приходит сам собой"" . 
",любовь к тому что вы делаете в сочетании с вашей верой в то что вы делаете не определит ваш успех это определит насколько усердно вы будете работать и насколько преданы своему делу успех приходит сам собой
""" Когда тело избежало увечий,  сердце редко уходило в могилу без шрамов"" . 
",когда тело избежало увечий сердце редко уходило в могилу без шрамов
""" Когда вы добираетесь до конца всего света,  который вы знаете,  и приходит время шагнуть во тьму неизвестного,  вера - это знание того,  что произойдет одна из двух вещей:  либо вам дадут что-то твердое,  на что можно опереться,  либо вас научат летать"" . 
",когда вы добираетесь до конца всего света который вы знаете и приходит время шагнуть во тьму неизвестного вера это знание того что произойдет одна из двух вещей либо вам дадут что-то твердое на что можно опереться либо вас научат летать
"Белла.  Ты всегда была моей душой. 
",белла ты всегда была моей душой
""" Для меня это не "" упущение"" ,  если ( исследование Potteries Thinkbelt)  попадет в архив,  не как пример того,  как железнодорожные вагоны можно использовать для обучения,  а как один из самых сильных вопросительных знаков,  когда-либо поставленных против архитектуры университетского образования"" . 
",для меня это не упущение если исследование попадет в архив не как пример того как железнодорожные вагоны можно использовать для обучения а как один из самых сильных вопросительных знаков когда-либо поставленных против архитектуры университетского образования
""" Возможно,  любовь - это небольшое безумие.  И,  как и в случае с безумием,  оно невыносимо в одиночестве.  Единственный человек,  который может нас успокоить,  - это,  конечно,  единственный человек,  к которому мы не можем пойти:  тот,  кого мы любим.  Поэтому вместо этого мы ищем союзников,  даже среди незнакомых людей и жен,  коллег-пациентов,  которые,  если и не могут прикоснуться к краю нашего особого горя,  почувствовали что-то,  что ранит почти так же глубоко"" . 
",возможно любовь это небольшое безумие и как и в случае с безумием оно невыносимо в одиночестве единственный человек который может нас успокоить это конечно единственный человек к которому мы не можем пойти тот кого мы любим поэтому вместо этого мы ищем союзников даже среди незнакомых людей и жен коллег-пациентов которые если и не могут прикоснуться к краю нашего особого горя почувствовали что-то что ранит почти так же глубоко
