Quote,Clear
"Группы из Акрона обладают чувством юмора и не склонны воспринимать себя слишком серьезно. 
",группы из акрона обладают чувством юмора и не склонны воспринимать себя слишком серьезно
"Не соглашайтесь ни на кого,  просто чтобы кто-то был.  Будьте терпеливы.  Имей веру и жди подходящего человека. 
",не соглашайтесь ни на кого просто чтобы кто-то был будьте терпеливы имей веру и жди подходящего человека
""" Чтобы быть успешным,  вы должны вкладывать душу в свой бизнес,  а ваш бизнес - в ваше сердце"" . 
",чтобы быть успешным вы должны вкладывать душу в свой бизнес а ваш бизнес в ваше сердце
"Делайте свое маленькое доброе дело там,  где вы находитесь;  именно эти маленькие добрые дела,  собранные вместе,  переполняют мир. 
",делайте свое маленькое доброе дело там где вы находитесь именно эти маленькие добрые дела собранные вместе переполняют мир
""" Два прощальных подарка"" ,  - пробормотала Сэди,  - "" от двух великолепных парней.  Я ненавижу свою жизнь. "" 
",два прощальных подарка пробормотала сэди от двух великолепных парней я ненавижу свою жизнь
"Повернитесь лицом к солнцу,  и тени упадут позади вас. 
",повернитесь лицом к солнцу и тени упадут позади вас
""" Слово Божье нужно не просто слышать и повторять,  им нужно дышать,  жить им и подражать в каждом действии"" . 
",слово божье нужно не просто слышать и повторять им нужно дышать жить им и подражать в каждом действии
"Эксперт - это тот,  кто знает все больше и больше о все меньшем и меньшем,  пока не узнает абсолютно все ни о чем. 
",эксперт это тот кто знает все больше и больше о все меньшем и меньшем пока не узнает абсолютно все ни о чем
""" Есть три вида лжи:  ложь,  наглая ложь и статистика"" . 
",есть три вида лжи ложь наглая ложь и статистика
"То,  чего мы ждем,  не так важно,  как то,  что происходит с нами,  пока мы ждем.  Доверяйте процессу. 
",то чего мы ждем не так важно как то что происходит с нами пока мы ждем доверяйте процессу
"Я жил в книгах больше,  чем где-либо еще. 
",я жил в книгах больше чем где-либо еще
""" В наше время единственной разумной вещью может быть бессмыслица"" . 
",в наше время единственной разумной вещью может быть бессмыслица
"Вуду,  я боюсь булавок и иголок. Могу ли я просто засунуть куклу вуду в микроволновку? 
",вуду я боюсь булавок и иголок могу ли я просто засунуть куклу вуду в микроволновку
""" Признание - это обладание.  Когда вы признаете,  думаете или убеждены в чем-то,  это действительно сбудется"" . 
",признание это обладание когда вы признаете думаете или убеждены в чем-то это действительно сбудется
""" Если бы жизнь была предсказуемой,  она перестала бы быть жизнью и была бы лишена вкуса"" . 
",если бы жизнь была предсказуемой она перестала бы быть жизнью и была бы лишена вкуса
""" Природа находится внутри искусства как его содержание,  а не снаружи как его модель"" . 
",природа находится внутри искусства как его содержание а не снаружи как его модель
"Поистине революционным обещанием основополагающего документа нашей страны является свобода стремиться к счастью с большой буквы "" Н"" . 
",поистине революционным обещанием основополагающего документа нашей страны является свобода стремиться к счастью с большой буквы н
"Завтрашний день надеется,  что мы чему-то научились за вчерашний день. 
",завтрашний день надеется что мы чему-то научились за вчерашний день
""" Не всегда нужно быть сильным,  но чувствовать себя сильным"" . 
",не всегда нужно быть сильным но чувствовать себя сильным
""" Когда мы заменяем чувство служения и благодарности чувством права и ожиданий,  мы быстро видим упадок наших отношений,  общества и экономики"" . 
",когда мы заменяем чувство служения и благодарности чувством права и ожиданий мы быстро видим упадок наших отношений общества и экономики
"Возможно,  вы ищете причины,  но их нет. 
",возможно вы ищете причины но их нет
"Незрелые поэты подражают;  зрелые поэты крадут. 
",незрелые поэты подражают зрелые поэты крадут
""" Рокфеллер однажды объяснил секрет успеха.  "" Вставай рано,  работай допоздна - и добывай нефть"" . 
",рокфеллер однажды объяснил секрет успеха вставай рано работай допоздна и добывай нефть
""" Мы не знаем дьявольской стороны истории,  потому что все книги написал Бог"" . 
",мы не знаем дьявольской стороны истории потому что все книги написал бог
"Иногда самые красивые люди красиво разбиваются. 
",иногда самые красивые люди красиво разбиваются
""" Когда юмор можно заставить чередоваться с меланхолией,  человек добивается успеха,  но когда одни и те же вещи смешны и меланхоличны одновременно,  это просто замечательно"" . 
",когда юмор можно заставить чередоваться с меланхолией человек добивается успеха но когда одни и те же вещи смешны и меланхоличны одновременно это просто замечательно
"Справедливо ли давать нам память о том,  что было,  и желание того,  что могло бы быть,  когда мы должны страдать от того,  что есть? 
",справедливо ли давать нам память о том что было и желание того что могло бы быть когда мы должны страдать от того что есть
"Он верил в Бога,  даже если сомневался в притязаниях людей на знание Божьего замысла.  Но Бог,  неспособный прощать,  вовсе не был Богом. 
",он верил в бога даже если сомневался в притязаниях людей на знание божьего замысла но бог неспособный прощать вовсе не был богом
""" Все искусство - это борьба за то,  чтобы быть,  в определенном смысле,  добродетельным"" . 
",все искусство это борьба за то чтобы быть в определенном смысле добродетельным
""" Поступай так,  как подсказывает тебе твое сердце,  или ты потеряешь все"" . 
",поступай так как подсказывает тебе твое сердце или ты потеряешь все
""" Если бы Бог хотел,  чтобы люди разговаривали по мобильным телефонам,  он бы поместил наши рты сбоку от головы"" . 
",если бы бог хотел чтобы люди разговаривали по мобильным телефонам он бы поместил наши рты сбоку от головы
"Хороший роман рассказывает нам правду о своем герое,  но плохой роман рассказывает нам правду о своем авторе. 
",хороший роман рассказывает нам правду о своем герое но плохой роман рассказывает нам правду о своем авторе
""" Как бегущее пламя на равнине,  как вспышка молнии в облаках.  Мы живем в мерцании"" . 
",как бегущее пламя на равнине как вспышка молнии в облаках мы живем в мерцании
""" Мелодия была грустной,  как и все лучшее в Ирландии,  меланхоличной и прекрасной,  как слезы влюбленного"" . 
",мелодия была грустной как и все лучшее в ирландии меланхоличной и прекрасной как слезы влюбленного
""" Harlem P. O. V.  Все,  что находится за пределами Гарлема,  - это захолустье,  где хэйсиды отказываются от Nike в пользу Reeboks"" . 
",все что находится за пределами гарлема это захолустье где хэйсиды отказываются от в пользу
"Мы рождены в любви;  Любовь - наша мать. 
",мы рождены в любви любовь наша мать
""" Видение чуда вдохновит вас,  но осознание того,  что вы чудо,  изменит вас"" . 
",видение чуда вдохновит вас но осознание того что вы чудо изменит вас
"История искусства - это история возрождений. 
",история искусства это история возрождений
"В любой данный момент у нас есть выбор быть счастливыми - мы просто должны выбрать быть счастливыми. 
",в любой данный момент у нас есть выбор быть счастливыми мы просто должны выбрать быть счастливыми
""" Пожалуйста,  никогда не думай,  что я без тебя или ты без меня,  я живу с тобой все время"" . 
",пожалуйста никогда не думай что я без тебя или ты без меня я живу с тобой все время
"Тебя одного достаточно.  Тебе нечего никому доказывать. 
",тебя одного достаточно тебе нечего никому доказывать
""" Сожжения книг.  Всегда предвестники.  Вестники костров,  печей,  массовых захоронений"" . 
",сожжения книг всегда предвестники вестники костров печей массовых захоронений
""" Никогда не давай парню понять,  что ты от него без ума.  Он потеряет интерес,  и тогда ты будешь неудачницей"" . 
",никогда не давай парню понять что ты от него без ума он потеряет интерес и тогда ты будешь неудачницей
"День святого Валентина - праздник поэта. 
",день святого валентина праздник поэта
"Минималистичное искусство никуда не делось. 
",минималистичное искусство никуда не делось
"Призвание христианина в каждом поколении - перехитрить любую оппозицию. 
",призвание христианина в каждом поколении перехитрить любую оппозицию
"Концепция - это кирпич.  Из него можно построить здание суда разума.  Или его можно выбросить в окно. 
",концепция это кирпич из него можно построить здание суда разума или его можно выбросить в окно
""" Мы пришли в этот мир,  чтобы наслаждаться магией любви,  красотой существования и радостью жизни.  Мы пришли в этот мир не за деньгами и славой"" . 
",мы пришли в этот мир чтобы наслаждаться магией любви красотой существования и радостью жизни мы пришли в этот мир не за деньгами и славой
""" Мы все умираем.  Цель не в том,  чтобы жить вечно,  цель в том,  чтобы создать что-то,  что будет"" . 
",мы все умираем цель не в том чтобы жить вечно цель в том чтобы создать что-то что будет
""" Живи настоящим,  помни прошлое и не бойся будущего,  потому что его не существует и никогда не будет.  Есть только сейчас"" . 
",живи настоящим помни прошлое и не бойся будущего потому что его не существует и никогда не будет есть только сейчас
"Вы должны полагаться на те искры,  которые есть у вас внутри. 
",вы должны полагаться на те искры которые есть у вас внутри
"Немного мусора время от времени полезно для самого требовательного читателя.  Это обеспечивает необходимую грубую пищу в литературном рационе. 
",немного мусора время от времени полезно для самого требовательного читателя это обеспечивает необходимую грубую пищу в литературном рационе
"Песимистик тидак лебих дарипада сикап такбур мендахулуи насиб. 
",песимистик тидак лебих дарипада сикап такбур мендахулуи насиб
""" Что бы ты ни искал,  оно также ищет тебя.  Видишь ли,  не только ищи.  Будь доступен и готов,  когда это появится"" 
",что бы ты ни искал оно также ищет тебя видишь ли не только ищи будь доступен и готов когда это появится
"Мальчик знал,  что побег из школы был самым верным признаком его избранности. 
",мальчик знал что побег из школы был самым верным признаком его избранности
""" Может быть,  перед смертью ты увидишь своих призраков"" . 
",может быть перед смертью ты увидишь своих призраков
""" Как мы все знаем,  мигающие огни означают науку"" . 
",как мы все знаем мигающие огни означают науку
""" Любовь подобна дыханию,  ты вдыхаешь ее и выдыхаешь"" . 
",любовь подобна дыханию ты вдыхаешь ее и выдыхаешь
""" Чем больше ты читаешь,  тем больше вещей узнаешь.  Чем больше ты узнаешь,  тем в большем количестве мест побываешь"" . 
",чем больше ты читаешь тем больше вещей узнаешь чем больше ты узнаешь тем в большем количестве мест побываешь
"Не любят тех,  кто не показывает свою любовь. 
",не любят тех кто не показывает свою любовь
"Искусство - это все,  что может сойти тебе с рук. 
",искусство это все что может сойти тебе с рук
"Именно воображение доказывает наличие Божественной Искры внутри людей.  Это буквально частичка Души Мира во всех нас. 
",именно воображение доказывает наличие божественной искры внутри людей это буквально частичка души мира во всех нас
"То,  как вы занимаетесь любовью,  - это то,  как Бог будет с вами. 
",то как вы занимаетесь любовью это то как бог будет с вами
""" Да,  Квиррелл был великим учителем.  Был только тот незначительный недостаток,  что у него из затылка торчал лорд Волдеморт! "" 
",да квиррелл был великим учителем был только тот незначительный недостаток что у него из затылка торчал лорд волдеморт
""" Чтобы прожить жизнь в совершенной гармонии,  создайте истинный мир в своем сердце"" . 
",чтобы прожить жизнь в совершенной гармонии создайте истинный мир в своем сердце
""" Слова отскакивают.  Слова,  если вы им позволите,  будут делать то,  что они хотят делать и что они должны делать"" . 
",слова отскакивают слова если вы им позволите будут делать то что они хотят делать и что они должны делать
"Возможно,  "" хорошо""  будет нашим "" всегда"" . 
",возможно хорошо будет нашим всегда
""" Вы можете говорить людям о необходимости борьбы,  но когда бессильные начинают видеть,  что они действительно могут что-то изменить,  ничто не может погасить огонь"" . 
",вы можете говорить людям о необходимости борьбы но когда бессильные начинают видеть что они действительно могут что-то изменить ничто не может погасить огонь
"Какова ценность для выживания зацикленности на закате? 
",какова ценность для выживания зацикленности на закате
"Тот,  кто лишает нас наших мечтаний,  лишает нас нашей жизни. 
",тот кто лишает нас наших мечтаний лишает нас нашей жизни
"Я не рассматриваю успех как цель.  Послушание - это цель. 
",я не рассматриваю успех как цель послушание это цель
"Человек никогда не бывает более правдивым,  чем тогда,  когда он признает себя лжецом. 
",человек никогда не бывает более правдивым чем тогда когда он признает себя лжецом
"Кормление с ложечки в долгосрочной перспективе не учит нас ничему,  кроме формы ложки. 
",кормление с ложечки в долгосрочной перспективе не учит нас ничему кроме формы ложки
"Способность противостоять потрясениям приходит вместе со знанием того,  что будущее будет лучше,  чем прошлое. 
",способность противостоять потрясениям приходит вместе со знанием того что будущее будет лучше чем прошлое
""" У Мэри был маленький ягненок,  шерсть которого была электростатической,  И куда бы Мэри ни пошла,  свет становился неровным"" . 
",у мэри был маленький ягненок шерсть которого была электростатической и куда бы мэри ни пошла свет становился неровным
""" Если атеизм - это религия,  то здоровье - это болезнь! "" 
",если атеизм это религия то здоровье это болезнь
"Я - одно из своих ощущений. 
",я одно из своих ощущений
""" Делай,  что можешь,  с тем,  что у тебя есть,  там,  где ты есть"" . 
",делай что можешь с тем что у тебя есть там где ты есть
""" Она,  конечно,  верила. . .  потому что без чего-то,  во что можно верить,  жизнь была бы невыносимой"" . 
",она конечно верила потому что без чего-то во что можно верить жизнь была бы невыносимой
""" Лидеры должны быть достаточно близки,  чтобы общаться с другими,  но достаточно далеко впереди,  чтобы мотивировать их"" . 
",лидеры должны быть достаточно близки чтобы общаться с другими но достаточно далеко впереди чтобы мотивировать их
"Правда между двумя людьми всегда имеет два пути. 
",правда между двумя людьми всегда имеет два пути
"Безрассудство против Диета [ 10w]  Я живу слишком безрассудно,  чтобы беспокоиться о низкоуглеводных диетах. 
",безрассудство против диета 10 я живу слишком безрассудно чтобы беспокоиться о низкоуглеводных диетах
"Я не хочу,  чтобы кто-то скрывал,  кто он есть.  Это нехорошо…  это нехорошо
",я не хочу чтобы кто-то скрывал кто он есть это нехорошо это нехорошо
"Я люблю звезды. Потому что они ничего не могут сказать. Я люблю звезды. Потому что они никого не судят. 
",я люблю звезды потому что они ничего не могут сказать я люблю звезды потому что они никого не судят
""" Если вы осознаете яркость своего сердца,  вы никогда не будете бояться темноты"" . 
",если вы осознаете яркость своего сердца вы никогда не будете бояться темноты
"Любовь к себе - это эликсир бессмертного сердца. 
",любовь к себе это эликсир бессмертного сердца
""" Я начинаю мириться с тем фактом,  что любовь к кому-то требует прыжка веры,  и что мягкое приземление никогда не гарантировано"" . 
",я начинаю мириться с тем фактом что любовь к кому-то требует прыжка веры и что мягкое приземление никогда не гарантировано
"Поэзия земли никогда не умирает. 
",поэзия земли никогда не умирает
"Реализм может разбить сердце писателя. 
",реализм может разбить сердце писателя
""" На небесах всегда есть ответы и объяснения всему:  каждой боли,  каждому страданию,  радости и замешательству"" . 
",на небесах всегда есть ответы и объяснения всему каждой боли каждому страданию радости и замешательству
""" Дело не в том,  что я хочу,  чтобы ты уходил,  просто я не хочу,  чтобы ты оставался"" . "" - Китайские печали -"" 
",дело не в том что я хочу чтобы ты уходил просто я не хочу чтобы ты оставался китайские печали
""" Глупец думает,  что он мудр,  но мудрый человек знает,  что он дурак"" . 
",глупец думает что он мудр но мудрый человек знает что он дурак
""" Юмор не спасает нас от несчастья,  но позволяет нам немного отойти от него"" . 
",юмор не спасает нас от несчастья но позволяет нам немного отойти от него
"В вашем стремлении к духовности часто требуется приостановить вашу рациональность;  но истинная духовность требует,  чтобы вы усилили свою рациональность. 
",в вашем стремлении к духовности часто требуется приостановить вашу рациональность но истинная духовность требует чтобы вы усилили свою рациональность
""" Если кто-то не согласен со мной в плане юмора,  я не могу дать ему этого"" . 
",если кто-то не согласен со мной в плане юмора я не могу дать ему этого
""" Настоящую любовь нельзя найти там,  где ее нет,  и нельзя отрицать ее там,  где она есть"" . 
",настоящую любовь нельзя найти там где ее нет и нельзя отрицать ее там где она есть
"Слабая вера видит Божью руку в великих вещах.  Твердая вера видит Божью руку в мелочах. 
",слабая вера видит божью руку в великих вещах твердая вера видит божью руку в мелочах
"Что ж,  я,  безусловно,  усвоил урок и надеюсь двигаться дальше,  и,  безусловно,  два года тюрьмы были ужасным наказанием. 
",что ж я безусловно усвоил урок и надеюсь двигаться дальше и безусловно два года тюрьмы были ужасным наказанием
""" Я положил книгу на стол,  раскрыл ее мягкие страницы цвета слоновой кости. . .  и погрузился в нее,  как в бассейн в сухой сезон"" . 
",я положил книгу на стол раскрыл ее мягкие страницы цвета слоновой кости и погрузился в нее как в бассейн в сухой сезон
"Надежда - это сон наяву. 
",надежда это сон наяву
""" Без причинно-следственной связи в мире нет смысла обучать людей или выступать с какими-либо моральными или политическими призывами"" . 
",без причинно-следственной связи в мире нет смысла обучать людей или выступать с какими-либо моральными или политическими призывами
"Жизнь сама по себе - самая чудесная сказка. 
",жизнь сама по себе самая чудесная сказка
""" Мне нужен знак "" Осторожно:  скользко,  когда мокро"" ,  потому что я только что расплескал свое эго по всему полу"" . 
",мне нужен знак осторожно скользко когда мокро потому что я только что расплескал свое эго по всему полу
""" Секретный код успеха - терпение,  добродетель,  которую невозможно заменить.  Требуется время,  чтобы строить великие мечты"" . 
",секретный код успеха терпение добродетель которую невозможно заменить требуется время чтобы строить великие мечты
"Мои мама и папа невероятно усердно работали,  чтобы позволить мне получить образование. 
",мои мама и папа невероятно усердно работали чтобы позволить мне получить образование
"Мы часто участвуем в войне только для того,  чтобы потерять свои сердца и получить несколько клочков земли. 
",мы часто участвуем в войне только для того чтобы потерять свои сердца и получить несколько клочков земли
"Я не прислушиваюсь к тому,  что говорят искусствоведы.  Я не знаю никого,  кому нужен критик,  чтобы понять,  что такое искусство. 
",я не прислушиваюсь к тому что говорят искусствоведы я не знаю никого кому нужен критик чтобы понять что такое искусство
"Она смотрела на симпатичных молодых людей так,  словно чувствовала запах их глупости. 
",она смотрела на симпатичных молодых людей так словно чувствовала запах их глупости
""" Мы созданы для долины,  для обычной жизни,  в которой мы живем,  и именно там мы должны проявить свой характер"" . 
",мы созданы для долины для обычной жизни в которой мы живем и именно там мы должны проявить свой характер
"Чистая радость встречается редко.  Вот почему на каждый прием пищи я ем по-настоящему кровавый стейк. 
",чистая радость встречается редко вот почему на каждый прием пищи я ем по-настоящему кровавый стейк
""" Похоть плоти направляет эти желания [ личного единения] ,  однако,  на удовлетворение тела,  часто ценой реального и полного общения людей"" . 
",похоть плоти направляет эти желания личного единения однако на удовлетворение тела часто ценой реального и полного общения людей
"Не сражайся с вещью в деталях:  отвернись от нее.  Смотри ТОЛЬКО на своего Господа.  Пойте.  Прочитай.  Работа. 
",не сражайся с вещью в деталях отвернись от нее смотри только на своего господа пойте прочитай работа
"Кэмерон Кроу умеет писать диалоги и снимать их с теплотой и юмором,  как никто другой. 
",кэмерон кроу умеет писать диалоги и снимать их с теплотой и юмором как никто другой
""" Если ты хочешь видеть радугу,  тебе придется смириться с дождем"" . 
",если ты хочешь видеть радугу тебе придется смириться с дождем
"Зеркала,  которые ничего не скрывают,  причиняют мне боль.  Но это боль очищения и драгоценного обновления - и это зеркала опасной благодати. 
",зеркала которые ничего не скрывают причиняют мне боль но это боль очищения и драгоценного обновления и это зеркала опасной благодати
"Настоящее образование должно воспитывать нас из "" я""  во что-то гораздо более прекрасное;  в бескорыстии,  которое связывает нас со всем человечеством. 
",настоящее образование должно воспитывать нас из я во что-то гораздо более прекрасное в бескорыстии которое связывает нас со всем человечеством
"Вы - выражение сознания;  ваши мысли - это выражение вас самих. 
",вы выражение сознания ваши мысли это выражение вас самих
""" Я полагаю,  это заманчиво,  если единственный инструмент,  который у тебя есть,  - это молоток,  относиться ко всему так,  как если бы это был гвоздь
",я полагаю это заманчиво если единственный инструмент который у тебя есть это молоток относиться ко всему так как если бы это был гвоздь
"КЭЛВИН:  Как обычно,  доброта почти не сопротивляется. 
",кэлвин как обычно доброта почти не сопротивляется
"Никогда не следует использовать восклицательные знаки в письменной форме.  Это все равно что смеяться над собственной шуткой. 
",никогда не следует использовать восклицательные знаки в письменной форме это все равно что смеяться над собственной шуткой
""" Религия должна оставаться отдушиной для людей,  которые говорят себе:  "" Я не такой человек,  каким хочу быть"" .  Она никогда не должна превращаться в сборище самодовольных"" . 
",религия должна оставаться отдушиной для людей которые говорят себе я не такой человек каким хочу быть она никогда не должна превращаться в сборище самодовольных
""" Это не ежедневное увеличение,  а ежедневное уменьшение.  Отметайте несущественное"" . 
",это не ежедневное увеличение а ежедневное уменьшение отметайте несущественное
""" Без мастерства вдохновение - это просто тростинка,  колеблемая ветром"" . 
",без мастерства вдохновение это просто тростинка колеблемая ветром
""" Чтобы жить полноценной жизнью,  не зацикливайтесь на размере своей аудитории;  вместо этого сосредоточьтесь на том,  чтобы оказывать влияние на круг влияния,  данный вам Богом"" . 
",чтобы жить полноценной жизнью не зацикливайтесь на размере своей аудитории вместо этого сосредоточьтесь на том чтобы оказывать влияние на круг влияния данный вам богом
""" Жизнь,  потраченная на совершение ошибок,  не только более почетна,  но и более полезна,  чем жизнь,  потраченная на ничегонеделание"" . 
",жизнь потраченная на совершение ошибок не только более почетна но и более полезна чем жизнь потраченная на ничегонеделание
"Я хочу,  чтобы мой мир начинался и заканчивался с тобой. 
",я хочу чтобы мой мир начинался и заканчивался с тобой
""" Гностические сказки рассказывают о тоске души по дому,  ее стремлении к своей среде обитания. . . "" 
",гностические сказки рассказывают о тоске души по дому ее стремлении к своей среде обитания
"Вы никогда не останетесь наедине с поэтом в кармане. 
",вы никогда не останетесь наедине с поэтом в кармане
"Вы не сможете быть смешным,  если у вас нет хорошего материала. 
",вы не сможете быть смешным если у вас нет хорошего материала
""" Итак,  это правда,  когда все сказано и сделано,  горе - это цена,  которую мы платим за любовь"" . 
",итак это правда когда все сказано и сделано горе это цена которую мы платим за любовь
""" Медитация випассана - это непрерывный творческий процесс очищения.  Наблюдение за переживаниями от момента к моменту очищает ментальные слои один за другим"" . 
",медитация випассана это непрерывный творческий процесс очищения наблюдение за переживаниями от момента к моменту очищает ментальные слои один за другим
""" Бог дал мне второй шанс.  Я очень рад тому,  что происходит с моей карьерой,  но я хочу добиться успеха в отношениях со своими детьми"" . 
",бог дал мне второй шанс я очень рад тому что происходит с моей карьерой но я хочу добиться успеха в отношениях со своими детьми
""" День или ночь,  хорошее или плохое. . .  все происходит изнутри"" . 
",день или ночь хорошее или плохое все происходит изнутри
"К счастью нельзя стремиться;  оно должно наступить. 
",к счастью нельзя стремиться оно должно наступить
""" Если ты не знаешь точно,  куда направляешься,  как ты узнаешь,  когда доберешься туда? "" 
",если ты не знаешь точно куда направляешься как ты узнаешь когда доберешься туда
"Я НИКОГДА НЕ ПОНИМАЛ СМЫСЛА ГРУСТИТЬ,  КОГДА я МОГ ВЫБРАТЬ БЫТЬ СЧАСТЛИВЫМ
",я никогда не понимал смысла грустить когда я мог выбрать быть счастливым
""" Когда ты любишь кого-то,  у тебя нет выбора.  Любовь лишает тебя выбора. - Клэри Фрэй"" 
",когда ты любишь кого-то у тебя нет выбора любовь лишает тебя выбора клэри фрэй
"Мне нравятся мужчины,  у которых есть будущее,  и женщины,  у которых есть прошлое. 
",мне нравятся мужчины у которых есть будущее и женщины у которых есть прошлое
